Numero_expedient,Descripcio_dia_setmana,NK_Any,Mes_any,Dia_mes,Hora_dia,Descripcio_torn,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2019S001880    ,Diumenge,2019,3,10,12,Matí,5,0,5,2,2.13833633303163,41.4154437150071
2019S001881    ,Diumenge,2019,3,10,13,Matí,1,0,1,1,2.13951182203763,41.4472723012719
2019S001882    ,Dissabte,2019,3,9,15,Tarda,1,0,1,2,2.19398664243669,41.3867245859557
2019S001883    ,Diumenge,2019,3,10,14,Tarda,1,0,1,2,2.1956917076103,41.4477182838407
2019S001884    ,Diumenge,2019,3,10,13,Matí,1,0,1,2,2.14394604532823,41.3905858421439
2019S001885    ,Diumenge,2019,3,10,15,Tarda,1,0,1,1,2.21740698621299,41.4074029065212
2019S001886    ,Diumenge,2019,3,10,19,Tarda,2,0,2,1,2.16021758626857,41.3969850862799
2019S001887    ,Diumenge,2019,3,10,20,Tarda,1,0,1,2,2.15709404863323,41.3834090648323
2019S001888    ,Diumenge,2019,3,10,21,Tarda,1,0,1,2,2.1384442493691,41.3603007163929
2019S001889    ,Dilluns,2019,3,11,0,Nit,1,0,1,2,2.14924063282502,41.3905540440976
2019S001890    ,Dilluns,2019,3,11,2,Nit,1,0,1,2,2.180198472062,41.3987942977488
2019S001891    ,Dilluns,2019,3,11,9,Matí,1,0,1,1,2.17587792430759,41.386222050694
2019S001892    ,Dilluns,2019,3,11,9,Matí,2,0,2,3,2.10739911622989,41.3820537414674
2019S001893    ,Dilluns,2019,3,11,10,Matí,1,0,1,2,2.20216741605227,41.4087183430253
2019S001894    ,Dilluns,2019,3,11,9,Matí,1,0,1,2,2.13580412904809,41.3992424265128
2019S001895    ,Dilluns,2019,3,11,8,Matí,0,0,0,1,2.17195706198739,41.4301726507769
2019S001896    ,Dilluns,2019,3,11,12,Matí,1,0,1,1,2.1530517870234,41.4235496356439
2019S001897    ,Dilluns,2019,3,11,13,Matí,2,0,2,2,2.16640163280052,41.4118610871685
2019S001898    ,Dilluns,2019,3,11,14,Tarda,1,0,1,2,2.1139960008972,41.3994984612166
2019S001899    ,Dilluns,2019,3,11,15,Tarda,2,0,2,2,2.15291811078163,41.3861533130974
2019S001900    ,Dilluns,2019,3,11,16,Tarda,1,0,1,2,2.20530711275625,41.4313022052185
2019S001901    ,Dilluns,2019,3,11,16,Tarda,1,0,1,1,2.18401643343595,41.4282494584006
2019S001902    ,Dilluns,2019,3,11,16,Tarda,2,0,2,1,2.157857745921,41.4249670057591
2019S001903    ,Dilluns,2019,3,11,17,Tarda,1,0,1,1,2.1311110870502,41.431572252309
2019S001904    ,Dilluns,2019,3,11,15,Tarda,1,0,1,2,2.12280400372492,41.4078203149171
2019S001905    ,Dilluns,2019,3,11,14,Tarda,0,0,0,4,2.16495221617503,41.3862553299533
2019S001906    ,Dilluns,2019,3,11,19,Tarda,1,0,1,2,2.19526736335582,41.4090852578915
2019S001907    ,Dilluns,2019,3,11,20,Tarda,2,0,2,2,2.1277296218084,41.3785201308588
2019S001908    ,Dilluns,2019,3,11,19,Tarda,1,0,1,2,2.16368225533318,41.4018598155286
2019S001909    ,Dilluns,2019,3,11,20,Tarda,1,0,1,2,2.15425990347161,41.3619319231275
2019S001910    ,Dilluns,2019,3,11,19,Tarda,1,0,1,1,2.1594609932269,41.4153540004286
2019S001911    ,Dilluns,2019,3,11,22,Nit,1,0,1,2,2.16485418822324,41.3941112444653
2019S001912    ,Dimarts,2019,3,12,0,Nit,1,0,1,1,2.13517013221891,41.375532055051
2019S001913    ,Dimarts,2019,3,12,7,Matí,1,0,1,2,2.17119814966099,41.4436831545411
2019S001914    ,Dimarts,2019,3,12,8,Matí,2,0,2,2,2.1763494917039,41.3951500647679
2019S001915    ,Dilluns,2019,3,11,13,Matí,0,0,0,2,2.12135191130864,41.4075010020527
2019S001916    ,Dimarts,2019,3,12,9,Matí,1,0,1,3,2.13930866344929,41.3680642167219
2019S001917    ,Dimarts,2019,3,12,9,Matí,1,0,1,2,2.13633581843523,41.3847786400624
2019S001918    ,Dimarts,2019,3,12,9,Matí,1,0,1,2,2.15781176593725,41.4112333150483
2019S001919    ,Dimarts,2019,3,12,9,Matí,3,0,3,1,2.21092339711432,41.4071758620253
2019S001920    ,Dimarts,2019,3,12,11,Matí,1,0,1,2,2.15674539333218,41.3879840798115
2019S001921    ,Dimarts,2019,3,12,12,Matí,1,0,1,1,2.14587479321385,41.3730081437516
2019S001922    ,Dimarts,2019,3,12,13,Matí,1,0,1,2,2.16595593164062,41.3951345510229
2019S001923    ,Dimarts,2019,3,12,13,Matí,2,0,2,1,2.16252988571566,41.3975804855822
2019S001924    ,Dimarts,2019,3,12,14,Tarda,1,0,1,2,2.15867993414942,41.3924147551947
2019S001925    ,Dimarts,2019,3,12,15,Tarda,2,0,2,3,2.17322083545316,41.367687303798
2019S001926    ,Dimarts,2019,3,12,14,Tarda,1,0,1,2,2.16953143640143,41.3939227961774
2019S001927    ,Dimarts,2019,3,12,15,Tarda,1,0,1,2,2.14384398670374,41.3845439924558
2019S001928    ,Dimarts,2019,3,12,13,Matí,2,0,2,2,2.19960268734373,41.3905694265419
2019S001929    ,Dimarts,2019,3,12,12,Matí,1,0,1,1,2.17938437769097,41.3890119398081
2019S001930    ,Dimarts,2019,3,12,12,Matí,0,0,0,3,2.1715339413877,41.366115531139
2019S001931    ,Dimarts,2019,3,12,16,Tarda,1,0,1,2,2.19185704230264,41.3912693858872
2019S001932    ,Dimarts,2019,3,12,16,Tarda,1,0,1,1,2.20776559656518,41.3993464523289
2019S001933    ,Dimarts,2019,3,12,15,Tarda,1,0,1,2,2.16873180542591,41.4049901789083
2019S001934    ,Dimarts,2019,3,12,14,Tarda,1,0,1,2,2.14286210512056,41.385689541252
2019S001935    ,Dimarts,2019,1,22,10,Matí,0,0,0,1,2.10637860382163,41.408594104192
2019S001936    ,Dimarts,2019,3,12,17,Tarda,1,0,1,2,2.21680132266645,41.4085519125801
2019S001937    ,Dimarts,2019,3,12,14,Tarda,1,0,1,2,2.12280400372492,41.4078203149171
2019S001938    ,Dimarts,2019,3,12,18,Tarda,1,0,1,2,2.20486536446899,41.4167644062502
2019S001939    ,Dimarts,2019,3,12,18,Tarda,1,0,1,2,2.12960567808777,41.3726208727828
2019S001940    ,Dimarts,2019,3,12,18,Tarda,1,0,1,1,2.12684700150445,41.3877864776913
2019S001941    ,Dimarts,2019,3,12,19,Tarda,1,0,1,1,2.15663768492644,41.3787426671427
2019S001942    ,Dimarts,2019,3,12,21,Tarda,2,0,2,2,2.14021283681295,41.3752293641676
2019S001943    ,Dimarts,2019,3,12,23,Nit,1,0,1,2,2.14926196226409,41.39575246468
2019S001944    ,Dimecres,2019,3,13,1,Nit,1,0,1,2,2.17922046766355,41.391649763721
2019S001945    ,Dimecres,2019,3,13,1,Nit,0,0,0,1,2.18173005447398,41.3802881989462
2019S001946    ,Dimecres,2019,3,13,2,Nit,2,0,2,1,2.14111820914642,41.4116193603864
2019S001947    ,Dimecres,2019,3,13,5,Nit,1,0,1,3,2.18326766645671,41.4628374393185
2019S001948    ,Dimecres,2019,3,13,8,Matí,1,0,1,2,2.16422367747305,41.4147907885173
