Numero_expedient,Any,Mes_any,Dia_mes,Hora_dia,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2018S000844    ,2018,1,31,14,1,0,1,2,2.171885,41.366019
2018S006903    ,2018,9,13,14,1,0,1,3,2.171625,41.366096
2018S002009    ,2018,3,12,16,1,0,1,2,2.131496,41.368214
2018S006944    ,2018,9,14,19,1,0,1,2,2.131496,41.368214
2018S006709    ,2018,9,5,12,1,0,1,1,2.131496,41.368214
2018S006058    ,2018,8,5,16,1,0,1,5,2.164822,41.368945
2018S007580    ,2018,10,6,23,1,0,1,2,2.164822,41.368945
2018S002664    ,2018,4,7,23,2,0,2,2,2.140913,41.368518
2018S005769    ,2018,7,25,22,1,0,1,2,2.140913,41.368518
2018S009509    ,2018,12,13,14,1,0,1,2,2.1394,41.368043
2018S000296    ,2018,1,12,17,2,0,2,1,2.140913,41.368518
2018S003332    ,2018,4,30,9,0,0,0,1,2.140075,41.368552
2018S006735    ,2018,9,5,13,2,0,2,1,2.140075,41.368552
2018S006515    ,2018,8,28,0,1,0,1,1,2.1394,41.368043
2018S003552    ,2018,5,7,13,1,0,1,2,2.16934,41.368773
